229,2019-05-07 00:00:00,237445355,991.0
230,2019-03-28 00:00:00,254994423,72762.0
231,2019-02-26 00:00:00,366842299,54046.0
236,2019-01-31 00:00:00,233172590,57211.0
237,2019-03-28 00:00:00,074346477,25761.0
240,2019-06-27 00:00:00,386172242,45969.0
241,2019-05-31 00:00:00,277430257,19146.0
242,2019-02-26 00:00:00,255716910,60427.0
244,2019-03-28 00:00:00,905938803,71747.0
246,2019-03-28 00:00:00,183565224,27852.0
250,2019-03-11 00:00:00,586888794,1306.0
251,2019-05-31 00:00:00,966595711,22472.0
252,2019-05-31 00:00:00,626969623,94536.0
253,2019-06-27 00:00:00,387321924,24501.0
254,2019-01-31 00:00:00,187227210,13871.0
255,2019-01-31 00:00:00,256883448,19647.0
256,2019-05-31 00:00:00,184685174,227766.0
260,2019-06-27 00:00:00,277174328,73846.0
261,2019-03-28 00:00:00,246378700,49664.0
263,2019-05-31 00:00:00,257583729,41022.0
265,2019-01-31 00:00:00,367272083,56411.0
268,2019-06-27 00:00:00,707838277,39975.0
270,2019-06-27 00:00:00,055536980,41810.0
271,2019-03-28 00:00:00,987444353,28093.0
272,2019-03-28 00:00:00,467281074,45634.0
274,2019-03-28 00:00:00,237840779,41699.0
275,2019-04-26 00:00:00,587980603,23096.0
276,2019-01-31 00:00:00,157428800,30512.0
279,2019-01-31 00:00:00,585310138,67334.0
281,2019-01-31 00:00:00,275123584,20566.0
283,2019-04-26 00:00:00,237840791,17484.0
285,2019-06-27 00:00:00,977444356,14847.0
286,2019-02-26 00:00:00,192690556,53359.0
289,2019-01-31 00:00:00,237476125,40354.0
290,2019-01-31 00:00:00,705188506,102083.0
291,2019-03-28 00:00:00,017444289,39019.0
293,2019-06-27 00:00:00,895784103,30259.0
294,2019-04-26 00:00:00,246031183,55162.0
295,2019-03-28 00:00:00,067170444,28826.0
296,2019-05-31 00:00:00,017444284,22481.0
298,2019-06-27 00:00:00,231692067,366537.0
299,2019-05-31 00:00:00,386440809,58070.0
305,2019-02-26 00:00:00,063901811,33666.0
